Population_key,City,Population
1,,
2,Ottawa,812129
3,Edmonton,712391
4,Calgary,1019942
5,Toronto,2600000
6,Halifax,359111
7,Burnaby,202799
8,New Westminster,58549
9,Regina,176183
10,Winnipeg,632063
11,Cochrane,16365
12,Fredericton,52337
13,Charlottetown,42402
14,Nanaimo,84905
15,Dartmouth,101343
16,Victoria,289625
17,Woodstock,33892
18,Montreal,1600000
19,Westmount,20494
20,Sarnia,82998
21,Lethbridge,70617
22,Taber,8163
23,Saint-Basile-le-Grand,15605
24,Niagara Falls,82000
25,Dryden,8195
26,Banff,7502
27,Red Deer,73593
28,Vernon,47274
29,Oakville,165697
30,Yellowknife,15865
31,St. John's,99182
32,Truro,20650
33,Windsor,278013
34,Kirkland Lake,7775
35,Sydney,105968
36,Aylmer,7527
37,Salmon Arm,16205
38,Hamilton,519949
39,Grande Prairie,41462
40,Timmins,42997
41,Portage la Prairie,12957
42,Barrie,182041
43,Terrace,19443
44,Kenora,15096
45,Drummondville,59489
46,Vancouver,600000
47,Fort Frances,7931
48,Brantford,87759
49,Cole Harbour,20000
50,The Pas,6055
51,Estevan,9904
52,Edmundston,16643
53,North Vancouver,48000
54,Bridgewater,8070
55,Chibougamau,7563
56,Kelowna,125109
57,Stephenville,6278
58,Abbotsford,151683
59,Delta,101668
60,Boisbriand,26483
61,Amherstburg,11459
62,Sainte-Anne-des-Plaines,10680
63,Maple Ridge,70000
64,Selkirk,9653
65,Gatineau,242124
66,Matane,14812
67,Prince George,65558
68,Saint John,87857
69,Belleville,49454
70,High River,9826
71,La Tuque,9503
72,Kingston,114195
73,White Rock,66450
74,Swift Current,14703
75,St. Albert,57719
76,Camrose,15686
77,Kamloops,68714
78,Vaughan,238866
79,Newmarket,74295
80,Notre-Dame-des-Prairies,8230
81,Alma,29526
82,Baie-Saint-Paul,7288
83,Miramichi,18129
84,Mont-Laurier,13405
85,Steinbach,9607
86,Midland,31502
87,North Battleford,19440
88,Sydney Mines,7312
89,Rimouski,42240
90,Chilliwack,77000
91,Summerside,14808
92,Moose Jaw,32166
93,Prince Rupert,14708
94,Revelstoke,7533
95,Port Alberni,21282
96,Baie-Comeau,29808
97,Victoriaville,34426
98,Corner Brook,18693
99,Cranbrook,18610
100,Moncton,87467
101,Fort McMurray,76000
102,Glace Bay,19968
103,North York,636000
104,Mississauga,668549
105,Labrador City,10313
106,Orillia,30178
107,Sherbrooke,129447
108,Drayton Valley,6099
109,London,346765
110,Smiths Falls,10553
111,Chatham,43550
112,Hinton,9889
113,Slave Lake,7661
114,Brandon,26234
115,Weyburn,9362
116,Yarmouth,7500
117,Lacombe,10059
118,Goderich,8032
119,Duncan,22199
120,Thunder Bay,99334
121,Burlington,164415
122,Saint-Jean-sur-Richelieu,71613
123,West Kelowna,28793
